Hostname,IP address,Software Image,Version,Serial number
HQ-LAN-ROUTER,192.168.101.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048003']
HQ-VPN-ROUTER,10.1.1.1,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048006']
BRANCH-VPN-ROUTER,10.1.1.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048002']
HQ-FIREWALL-1,10.1.255.2,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048005']
HQ-FIREWALL-2,10.1.255.3,I86BI_LINUX-ADVENTERPRISEK9-M,15.7(3)M2,['2048004']
HQ-LAN-SWITCH,192.168.100.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048008']
HQ-ISP-SWITCH,10.1.255.10,I86BI_LINUXL2-ADVENTERPRISEK9-M,15.2(CML_NIGHTLY_20180510)FLO_DSGS7,['2048007']
